"country","a5 IV unweighted(threshold 1e-06)","a5 IV weighted by p31(threshold 1e-06)","a5 IV weighted by distance(threshold 1e-06)","a5 IV weighted by distance and p31(threshold 1e-06)","a5 IV unweighted(threshold 50)","a5 IV weighted by p31(threshold 50)","a5 IV weighted by distance(threshold 50)","a5 IV weighted by distance and p31(threshold 50)","a5 IV unweighted(threshold 100)","a5 IV weighted by p31(threshold 100)","a5 IV weighted by distance(threshold 100)","a5 IV weighted by distance and p31(threshold 100)"
"Albania",1.3831279755,1.4904237344398,1.3831279755,1.4904237344398,1.3831279755,1.4904237344398,1.3831279755,1.4904237344398,1.43736726476111,1.45269662047448,1.40945125870698,1.49099622596427
"Angola",1.3966599345,1.43640908446252,1.3966599345,1.43640908446252,1.64539231455556,1.65469801410037,1.65356275688561,1.68422982449565,1.64539231455556,1.65469801410037,1.64891118587421,1.68422982449565
"Argentina",2.03180908624416,2.16250910943584,2.03180908624416,2.16250910943584,2.03180908624416,2.16250910943584,2.03180908624416,2.16250910943584,2.03180908624416,2.16250910943584,2.03180908624416,2.16250910943584
"Australia",,,,,,,,,,,,
"Austria",2.13177393844015,2.14496462895434,2.13177371306902,2.144964628953,1.98008279828011,1.97935309945873,1.96644883550488,1.96825078238501,1.98008279828011,1.97935309945873,1.97366446942652,1.96825078238501
"Bangladesh",2.03001234105882,2.23669471673184,2.03001234105882,2.23669471673184,2.03001234105882,2.23669471673184,2.03001234105882,2.23669471673184,2.03001234105882,2.23669471673184,2.03001234105882,2.23669471673184
"Belgium",2.10440661788889,2.19947481392442,2.10440661788889,2.19947481392442,2.10440661788889,2.19947481392442,2.10440661788889,2.19947481392442,2.3685827425,2.42939177021882,2.41529177113688,2.50871182160324
"Benin",1.94342070816667,1.88506561963147,1.94342070816667,1.88506561963147,2.33265083366667,2.25896002080038,2.48407569923857,2.40503921937776,2.33265083366667,2.25896002080038,2.3943258322628,2.40503921937776
"Bolivia",2.03053680243082,2.06957931313126,2.03053680243082,2.06957931313126,2.03053680243082,2.06957931313126,2.03053680243082,2.06957931313126,2.03053680243082,2.06957931313126,2.03053680243082,2.06957931313126
"Botswana",1.3499126037,1.34524386780974,1.3499126037,1.34524386780974,1.48059978283333,1.43257702592006,1.53156378359798,1.50128837986399,1.48059978283333,1.43257702592006,1.50046763304033,1.50128837986399
"Brazil",2.15953846456531,2.10249130462396,2.15953846456531,2.10249130462396,2.15953846456531,2.10249130462396,2.15953846456531,2.10249130462396,2.15953846456531,2.10249130462396,2.15953846456531,2.10249130462396
"Bulgaria",1.47927110932738,1.54609501811071,1.47927110932738,1.54609501811071,1.47927110932738,1.54609501811071,1.47927110932738,1.54609501811071,1.47927110932738,1.54609501811071,1.47927110932738,1.54609501811071
"Canada",3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125
"Chile",1.9691045702,2.03218723865081,1.9691045702,2.03218723865081,1.9691045702,2.03218723865081,1.9691045702,2.03218723865081,1.9691045702,2.03218723865081,1.9691045702,2.03218723865081
"Colombia",2.04271907175273,1.84799431220379,2.04271907175273,1.84799431220379,2.04271907175273,1.84799431220379,2.04271907175273,1.84799431220379,2.04271907175273,1.84799431220379,2.04271907175273,1.84799431220379
"Costa Rica",2.0547618965,2.16793235026989,2.0547618965,2.16793235026989,2.0547618965,2.16793235026989,2.0547618965,2.16793235026989,2.0547618965,2.16793235026989,2.0547618965,2.16793235026989
"Croatia",1.9364789306125,1.94227224063209,1.9364789306125,1.94227224063209,1.94547245931736,1.93962882087155,1.92821464522925,1.92190402482015,1.75637796745389,1.75170305669724,1.8777931019879,1.98148402793789
