country,ccode,ccodecow,ccodewb,b6,b7,b15nwe,c5,cosalpo_4nwe,cosalpo_3econnwe
Albania,8,339,ALB,3.4166667,3.1666667,13.973443,2.5555556,.24850844,.12408662
Angola,24,540,AGO,3.3333333,3.5833333,15.877624,3.3636363,.15558791,.090004727
Argentina,32,160,ARG,3.590909,3.2,16.978373,2.6875,.13279723,.098901294
Australia,36,900,AUS,2.3333333,3.2222223,8.1261396,3.875,.54281503,.48284072
Austria,40,305,AUT,2.2666667,2.2666667,9.2679453,2.5833333,.53162807,.3555451
Bangladesh,50,771,BGD,3.2307692,3.6153846,14.797589,3.8333333,.10350004,.065093249
Belgium,56,211,BEL,2.2307692,1.7692307,9.3523808,2.75,.46952447,.4346953
Benin,204,434,BEN,3.6666667,3.8,14.045834,2.9000001,.06912519,.057986524
Bolivia,68,145,BOL,3.6153846,2.7272727,15.233796,3.2727273,.28908786,.32079265
Botswana,72,571,BWA,3,3.5714285,11.283473,3.6363637,.2586239,.32108963
Brazil,76,140,BRA,3.2941177,2.5,15.295693,2.1111112,.196492,.18293008
Bulgaria,100,355,BGR,3.6923077,4,15.81034,4.3000002,.23053674,.21273586
Canada,124,20,CAN,1.5,2.4000001,5.7853537,3.7777777,.51779145,.52557325
Chile,152,155,CHL,2.7058823,3.0714285,12.222222,2.4615386,.30266038,.10723608
Colombia,170,100,COL,3.3333333,2.909091,15.702229,2.5454545,.24705796,.11177713
Costa Rica,188,94,CRI,2.7058823,2.625,12.65607,3,.23140402,.19087094
Croatia,191,344,HRV,3,3.0625,13.55844,1.9230769,.39208937,.23227897
Czech Rep.,203,316,CZE,2.4000001,3.24,10.632284,3,.47279406,.63482696
Denmark,208,390,DNK,1.3125,3,6.3000841,3.4000001,.48000145,.48223558
Dom. Rep.,214,42,DOM,3.9230769,4.5384617,17.92804,2.6666667,.089108594,.079403192
Ecuador,218,130,ECU,3.5,3,16.492619,3.4615386,.32427269,.2517904
Egypt,818,651,EGY,3.6666667,4.3333335,17.691759,4,.29047996,.22120227
El Salvador,222,92,SLV,3.5833333,3.5,15.76387,4.0833335,.28810182,.1771595
Estonia,233,366,EST,2.5555556,3.125,11.494845,3,.4797343,.46956539
Finland,246,375,FIN,2.1176472,2.6666667,7.9834599,3,.27503937,.29341474
France,250,220,FRA,2.0666666,2.4285715,9.3609648,2.6428571,.53335464,.48185077
Georgia,268,372,GEO,3.25,3.75,13.982759,3.75,.20805643,.25563854
Germany,276,255,DEU,1.5909091,2.8571429,6.651547,3.1428571,.52762032,.43507645
Ghana,288,452,GHA,3.4615386,4,16.380272,3.5555556,.12971433,.10814689
Greece,300,350,GRC,3.4666667,2.4666667,12.319349,2.5384614,.54065847,.47748098
Guatemala,320,90,GTM,3.4000001,3.5714285,15.586551,2.5714285,.3102152,.26210302
Honduras,340,91,HND,3.1666667,2.5999999,16.458334,3.1111112,.086629301,.031414852
Hungary,348,310,HUN,2.9285715,3.6666667,14.848254,4,.16082022,.15540951
India,356,750,IND,3.474359,4.1184211,15.683954,3.4594595,.15949006,.1220452
Indonesia,360,850,IDN,3,3.8461537,14.810246,3.2142856,.17732775,.16404
Ireland,372,205,IRL,2.3333333,2.6666667,9.236722,2.4444444,.31504795,.28567094
Israel,376,666,ISR,2.925926,3.0370371,12.185174,2.6818182,.33263227,.21665438
Italy,380,325,ITA,2.8,2.9615386,12.635189,2.4782608,.42644516,.42496395
Jamaica,388,51,JAM,3.6666667,3.25,16.17,3.3,.084905036,.067597903
Japan,392,740,JPN,3.0555556,2,12.212702,1.6842105,.34275851,.23628514
Kenya,404,501,KEN,3.9333334,4.25,16.299189,3.4000001,.16704829,.170417
Latvia,428,367,LVA,2.8461537,3.2307692,10.517595,2.3846154,.3254213,.2792373
Lebanon,422,660,LBN,3.9000001,4.2222223,17.875351,4.2857141,.17486569,.14411609
Lithuania,440,368,LTU,2.9411764,4.2352943,14.443096,3.1538463,.19984296,.2126478
Macedonia,807,343,MKD,3.5833333,3.0833333,16.694603,3.6363637,.1851684,.05907613
Malaysia,458,820,MYS,3.4285715,3.1363637,12.30317,3.7619047,.38854092,.16558838
Mali,466,432,MLI,3.1666667,3.3333333,16.077465,2.2727273,.059184927,.036693972
Mauritius,480,590,MUS,3.7272727,3.909091,16.625374,4,.11752334,.072458953
Mexico,484,70,MEX,3.3,2.2857144,15.775533,2.0999999,.29550079,.16085346
Moldova,498,359,MDA,3,3.7142856,13.932624,2.8181818,.42321566,.35977876
Mongolia,496,712,MNG,3.7333333,4.5999999,18.477291,3.75,.14204186,.11660257
Morocco,504,600,MAR,3.4615386,3.5384614,13.646104,2.6153846,.10921915,.11766649
Mozambique,508,541,MOZ,3.1875,3.5,12.883146,2.6923077,.12258808,.073974013
Namibia,516,565,NAM,3.25,3.7692308,14.493443,2.3636363,.12278009,.054918461
Netherlands,528,210,NLD,1.6,2.9000001,6.4670253,3.2,.48178384,.49999365
New Zealand,554,920,NZL,1.9230769,2.8461537,8.8673096,3.9000001,.28181747,.26285625
Nicaragua,558,93,NIC,3.5,3.5,16.462963,3.125,.16786918,.16698402
Niger,562,436,NER,3.1111112,3.8888888,15.316137,3.25,.073816501,.069292754
Nigeria,566,475,NGA,3.2631578,3.4210527,15.050301,3.3870969,.079735108,.044063609
Norway,578,385,NOR,1.6,2.96,6.0981808,3.347826,.28291869,.20725738
Pakistan,586,770,PAK,3.3684211,2.95,14.196321,3.5263157,.22831848,.13567968
Panama,591,95,PAN,3.625,3.8,17.280159,2.625,.13218486,.080768391
Paraguay,600,150,PRY,3.7692308,3.1111112,17.577021,3.5,.27170438,.2034111
Peru,604,135,PER,2.8181818,2.2,13.512241,2.375,.21613966,.1731074
Philippines,608,840,PHL,3.8,4,17.315958,4,.11942311,.11730978
Poland,616,290,POL,2.5384614,2.7692308,11.778528,3.5,.31506312,.39366227
Portugal,620,235,PRT,2.2857144,2.7368422,12.148232,2.9230769,.55059493,.54029572
ROK,410,732,KOR,2.5333333,2.4666667,12.131945,2.8461537,.49308011,.42864853
Romania,642,360,ROM,3.2857144,3.5,14.643046,3.0714285,.3187089,.29011154
Russia,643,365,RUS,2.9166667,3.9285715,12.855209,4.1428571,.26140419,.15207711
S. Africa,710,560,ZAF,2.8888888,3.4444444,12.379776,3.625,.31875107,.43855739
Senegal,686,433,SEN,3.4166667,4.5,18.047031,2.6666667,.062285442,.040627155
Serbia,891,345,YUG,3,3.1111112,13.500639,1.875,.50561696,.35757107
Slovakia,703,317,SVK,2.3333333,2.4545455,11.224859,2.875,.513367,.43800056
Slovenia,705,349,SVN,2.4000001,3.3125,10.894339,3.3846154,.3312611,.19861133
Spain,724,230,ESP,2.2625,3,11.344048,2.9285715,.23585615,.20131035
Sweden,752,380,SWE,1.5,3.05,6.9004493,3.4666667,.25348896,.20247985
Switzerland,756,225,CHE,1.4,2.8571429,6.4824839,2.8571429,.439935,.43405634
Taiwan,158,713,TWN,3.5,3.3888888,15.066489,2.0588236,.21800081,.17959234
Tanzania,834,510,TZA,3.5714285,4.6666665,16.474562,3.5714285,.06593731,.039460603
Thailand,764,800,THA,3.3333333,3.375,13.291667,2.7142856,.13846904,.1561545
Turkey,792,640,TUR,3.6363637,3.3,17.743797,3.6666667,.28206903,.22153455
UK,826,200,GBR,1.4615384,3.0833333,6.3898988,3.8,.34917271,.31655389
USA,840,2,USA,2.4375,3.1333334,10.102406,4,.67962372,.71625602
Ukraine,804,369,UKR,3.2272727,3.5,14.413081,2.9047618,.18876024,.21764654
Uruguay,858,165,URY,2.4375,1.875,11.641752,2.5714285,.33173823,.24250586
Venezuela,862,101,VEN,3.6666667,3.4444444,16.989716,4.3333335,.23256533,.14455925
Zambia,894,551,ZMB,3.6666667,3.7368422,15.111245,3.0666666,.095239051,.090151444
