"ccodewb","country","USA","CAN","DOM","JAM","MEX","GTM","HND","SLV","NIC","CRI","PAN","COL","VEN","ECU","PER","BRA","BOL","PRY","CHL","ARG","URY","GBR","IRL","NLD","BEL","FRA","CHE","ESP","PRT","DEU","POL","AUT","HUN","CZE","SVK","ITA","ALB","MKD","HRV","SVN","GRC","BGR","MDA","ROM","RUS","EST","LVA","LTU","UKR","GEO","FIN","SWE","NOR","DNK","MLI","SEN","BEN","NER","GHA","NGA","KEN","TZA","AGO","MOZ","ZMB","ZAF","NAM","BWA","MUS","MAR","TUR","EGY","LBN","ISR","MNG","TWN","KOR","JPN","IND","PAK","BGD","THA","MYS","PHL","IDN","AUS","NZL"
"USA","USA",,0,1070.43666070704,782.91697208024,0,1109.31150685313,1080.24352045846,1429.25697947897,1140.77827225314,1594.07892249636,1722.87474285828,1662.29174197642,1740.00853788854,2631.27017524037,2845.44487571618,2833.94658780254,4159.54762659678,5355.2816068629,4868.47457859556,5417.3148061076,6592.25727106443,4121.88552888919,4034.5995305237,4996.9474215372,4958.97905545449,4587.25985148169,5418.09647703421,4523.79600436159,2984.81581770905,5130.67739538708,5537.42313053892,5592.77415799241,6024.38197141822,5600.65048394052,5997.02749786448,5505.47191944662,6557.178170499,6666.09351339486,5968.80968014745,5913.04883868725,6758.29364376922,6641.1408798548,6605.65368821168,6362.44544907521,80.5783017157232,5467.26312867998,5642.81628708077,5803.57846478833,6212.67605200641,7186.83452617411,4301.81069661124,4420.08919865349,4185.38661642732,5059.45229256586,5792.52257817649,5657.9450693566,7412.76823479581,7055.18699788068,7120.52010511144,7478.4480815452,10541.9027032277,10681.6882778926,9532.43346134303,11731.731442141,10928.79857745,11680.2184720068,10486.4391070079,11267.1249978251,13808.9896414007,5087.77699563478,7048.04994744451,7716.93308046638,8199.68653098548,8268.77103971582,4361.5146939071,5802.01360900188,4333.3469135214,2806.69237081768,7206.10643727406,7240.1188410745,7820.56675226079,7593.59836679011,7633.05382353916,6301.46059422882,6987.74033060803,7252.23916929731,6772.15522198676
"CAN","Canada",0,,2631.07409744279,2608.46725256608,1832.88276665986,2715.97481226812,2861.49398903174,3092.39283620161,2957.84524309713,3388.50934978816,3556.55229413589,3411.14061560666,3486.31410561551,4474.56699903273,4681.73432311641,4263.65156092836,5885.45832064282,6971.55626512275,6692.36917671123,7224.19021907285,8191.60854390778,2846.54043312681,2959.00719710531,3783.60137801236,3846.69751713868,3497.75987563405,4338.11426403633,3393.75006384754,1932.3938538775,3675.38001468697,3843.13221617741,4429.25691113614,4563.44093198978,4197.2243512533,4430.64337811181,4422.2187152288,5192.96536831061,5264.09297495621,4719.22877459499,4681.20065973026,5380.16941902491,5066.63020177199,4681.77579441365,4650.63040502415,1258.45125464992,3433.78211454668,3596.67305771754,3732.09048972741,4258.20090933447,5394.52009858302,2348.61384550081,2360.05259997826,2213.99716132251,3416.44502615422,4740.82172761977,4756.82023639554,6405.67369565997,5992.96902262303,6141.2337439437,6438.45526299648,9411.83849533142,9581.77272666697,8546.91270211591,10698.7624547374,9906.74046564745,10776.4568149516,9589.20910262934,10308.4402575823,12608.3588428106,3996.20856142445,5365.62737984856,6479.13794647709,6311.87126375013,6451.53090277226,4979.04188734017,7674.75252661544,6062.9630775724,4850.70845341957,6711.09084950075,6512.1642524057,7767.25605784533,8496.74866300198,9693.47178184609,8283.77914962942,9598.00990550042,10300.1693910511,11010.4939025401
"DOM","Dom. Rep.",1070.43666070704,2631.07409744279,,457.061386972849,1560.94350694017,1753.22148097683,1251.32840117725,1758.26988870411,1251.32840117725,1496.24742305327,1170.48635728711,569.339446098963,617.145133108267,1962.24866453836,1994.71770354874,1596.22152338928,3087.91080620675,4253.95920930086,3889.08287336909,4393.37354009125,5483.57619261994,6416.04274557616,6210.67074585191,7145.81975846866,7086.45494556204,6535.99160522672,7341.32483899408,5201.26195192674,4239.34263554725,7319.55312370793,7867.13110937951,7603.91881176861,8104.99935078589,7762.58404719781,8131.82757120094,7395.98879323425,8452.10285809734,8563.14003466099,7928.65255740868,7907.46879223426,8546.73505709131,8653.76454048937,8842.66754101125,8433.98204060427,8216.99815305736,8254.80965716741,8245.44372743469,8261.36529930564,8516.98942525818,10005.0886078891,7998.41183892154,7633.04404292962,7289.84864887302,7461.08522403822,5977.13765894966,5420.69426544266,7467.39025156856,7278.6598745503,7068.41034153617,7705.77546752138,11164.0473143032,10985.8816649351,9185.16943608214,11420.6791284631,10508.5080772366,10504.6090086646,9622.76187302086,10586.6122415662,14353.7758413342,5360.90088729932,9032.1002031706,9249.22711121947,10082.7251740463,10086.454084786,11960.4302374225,14807.1909650186,13199.9187888602,11962.3371024794,12879.393057174,12373.9040792321,14378.8342459867,15430.6326580663,16839.275886671,15429.3623216258,15991.3978328939,15270.972156508,12526.3320355191
"JAM","Jamaica",782.91697208024,2608.46725256608,457.061386972849,,915.480899191371,1085.20890289207,622.577119370309,1111.52893702432,622.577119370309,988.728408393316,929.167547515733,759.334577371683,828.49176428605,1807.35049759092,1973.54577487864,1921.23525185322,3250.50921411042,4443.82337283246,3983.39973559639,4521.61356207701,5682.09190774216,6979.28820651329,6795.80873127105,7747.15711301578,7689.91710858173,7168.45854824719,7995.56513841303,6006.16045420618,4928.03599366978,7920.88732867845,8436.12038425992,8241.76512475568,8742.16671173315,8369.56294242234,8752.42913893506,8059.83093441414,9127.1248093684,9238.55343783148,8582.27299029133,8553.68048182236,9241.98253209014,9308.76998693566,9446.94941968561,9071.61027808254,8215.9167285741,8769.80825292151,8779.85639920103,8803.03270541258,9114.75870866101,10614.459922132,8402.26021962098,8137.91359035055,7787.95827944881,8008.74300626968,6817.61458276707,6261.04927501723,8307.77905598567,8116.16093856546,7908.69296810187,8545.07006997033,12001.6049092656,11825.4159357527,10006.2401639814,12226.3893978062,11312.9051427999,11206.1468663205,10390.8458835681,11364.3937206024,15157.0902524812,6190.30997148906,9697.1494438635,9994.65471865946,10782.306976741,10797.3943675405,12169.7221908754,14721.1478042699,13112.5892273675,11772.1463066607,13377.8179063358,12999.0927923356,14778.890606835,15686.0275598253,16692.6346472105,15304.2884124755,15402.0293697106,14635.399033178,12016.0123285149
"MEX","Mexico",0,1832.88276665986,1560.94350694017,915.480899191371,,0,178.325030530181,207.478578938285,455.710762802496,750.774909986201,1092.3690913889,1549.45441937053,1828.29351857377,1600.155863676,2384.37936649434,2681.29439125854,3770.34182199329,5046.58180038164,4330.36288716246,4921.76840954767,6188.12632808357,7370.40235381132,7234.28657827236,8191.03260830355,8141.46141068693,7680.61834851078,8527.78478989272,6899.14767261257,5602.91848195363,8351.55503187503,8801.5901695644,8742.69619407842,9216.88051970552,8811.17252295982,9209.84532160192,8603.34559954181,9681.43971125289,9791.49663568996,9105.6569647115,9063.56760257004,9835.38456688112,9819.92236325312,9858.50913107066,9554.26734946858,5079.64598362337,8883.07006988822,8972.62505357957,9054.55647569536,9483.99941006712,10990.0256720514,8026.0938340405,7995.73610827567,7864.55018248061,8339.15096766047,7859.22858991559,7315.55736856212,9347.98560125216,9120.85175533724,8959.69297909533,9563.16070049949,12986.3666958116,12876.8865800547,11123.2732849333,13357.8692982104,12445.0477930923,12328.2614140276,11531.8603754757,12505.0061436193,16290.780642624,7164.3850802807,10220.3491577349,10686.8342142749,11356.1535338501,11393.9243537862,9451.45705427204,11081.2672303089,9630.14625699957,8105.89884239999,12306.2237960238,12202.2565670602,12911.3252246916,12885.732770853,12742.4989683681,11533.0658940104,11186.42330349,11163.8905295051,9878.95192354421
"GTM","Guatemala",1109.31150685313,2715.97481226812,1753.22148097683,1085.20890289207,0,,0,0,244.318072260319,538.814847149424,885.486899887875,1413.9448886167,1767.33834948249,1513.80765560117,2187.04016775954,2542.75887207283,3549.3110425657,4826.08761501593,4125.87912711803,4715.99948486533,5979.81662229007,7833.73930508463,7694.72270831548,8652.25634385903,8601.97215269194,8135.67002622578,8982.35953890808,7277.36720817197,6031.34921200315,8813.56276396022,9268.29940257715,9200.07485365214,9676.95455535032,9272.92559613542,9671.26764830999,9056.82169914506,10134.8033471683,10245.1411493825,9561.43341191541,9520.52726672361,10284.4067785081,10277.592276451,10323.2141012156,10013.9437142509,7699.12124787112,9480.34121389905,9531.08681296801,9571.11028214807,9951.1048888575,11475.2122133011,8922.70473770266,8793.00867040349,8482.96942460873,8807.36883609869,8112.86598039193,7555.37909534886,9602.11706068211,9412.3678187163,9202.66045994933,9841.31748991734,13297.7276386001,13110.1966104457,11262.553663655,13447.7658475312,12535.5580406136,12249.5151157924,11554.7611240416,12500.5132445947,16353.1334549901,7482.56530725328,10677.3907317419,11122.0649912052,11809.9452818139,11844.6544263998,12026.3545022023,14079.3884772258,12537.6762873255,11071.7598213744,13929.0912094558,13659.9775522292,15079.8021129556,15603.0746517253,15823.960579914,14579.5252544291,14035.1674175145,13114.044743337,10645.3204209015
"HND","Honduras",1080.24352045846,2861.49398903174,1251.32840117725,622.577119370309,178.325030530181,0,,0,0,249.204254025445,564.106073805362,941.994529872809,1230.6196243411,1491.14530018351,1863.59127487359,2071.04374634237,3235.79697098388,4490.50711904619,3880.71425226625,4466.89492453412,5699.16722863447,7692.4117311363,7524.16916520037,8481.43252986179,8425.58519109623,7920.12164550798,8756.29459288905,6811.27315208287,5711.95913041928,8650.84290808011,9143.83783839942,8993.55100976154,9489.38502574593,9104.40106555573,9493.33195307211,8824.7943069045,9895.01975429853,10006.3827897195,9341.04339174056,9308.78782680746,10019.0121595026,10066.2357913058,10176.0281347969,9820.65111578684,8037.66785871048,9416.96048158073,9449.46467366046,9479.97612610367,9826.99539905453,11341.9386393636,8949.09154203877,8753.29240790106,8422.63328616884,8698.02512401194,7591.21090419874,7030.53187830618,9076.23878711379,8900.71529629736,8675.99094887986,9324.22772302421,12784.9948200365,12568.4714215677,10713.5549198675,12896.0863367119,11983.8615328745,11722.3132486087,11006.5299123833,11956.7696436992,15803.8552046224,6986.05327690089,10458.7397013887,10790.4097521096,11558.5041836929,11578.2398086048,12331.0893293766,14439.6438365085,12899.1678491168,11432.3483898504,13963.9593168615,13688.6640349482,15241.8164504084,15893.9430986313,16160.628646297,14936.3782121029,14355.5123819529,13392.367230581,10862.9505308389
"SLV","El Salvador",1429.25697947897,3092.39283620161,1758.26988870411,1111.52893702432,207.478578938285,0,0,,37.6913941279297,331.959419840403,680.09898598866,1245.2475520959,1635.08047387189,1489.96968831315,2000.01810760416,2358.87338832675,3350.51802725038,4626.42984215664,3946.66595799756,4534.35404548704,5793.81246474349,8092.33948519276,7936.39331851082,8895.87208555141,8841.72534813741,8351.51033662682,9193.91262392158,7313.47279940586,6177.15082780041,9061.49014018971,9539.89466119228,9422.90985538728,9911.75067714221,9518.2179913663,9911.69671365197,9263.86995937266,10338.4336159846,10449.5599910389,9776.3458814724,9740.65798063036,10471.8464125955,10498.9933049975,10582.1739759478,10245.8312805052,8104.49379264779,9792.24976497754,9832.44131506078,9865.38260918387,10223.4917321138,11743.6727816161,9281.3615415976,9118.68736656033,8795.82711835053,9088.89427791052,8098.89167951107,7537.56066978142,9582.70704265111,9409.5017442779,9182.27226124637,9831.9866326815,13293.5358230055,13064.6126028738,11198.1477177834,13355.7114921794,12446.4463796652,12093.2887181417,11439.798043285,12371.5927353396,16235.9870668599,7494.25793175239,10894.8800373446,11265.4120598373,12008.3614163421,12033.3953660448,12431.4629812596,14469.5352615661,12936.865356257,11463.6294623087,14293.7527542947,14022.9360629391,15458.3496534276,16007.0740756341,16149.6471634063,14958.8422835664,14282.338203443,13289.3348195244,10757.7454867456
"NIC","Nicaragua",1140.77827225314,2957.84524309713,1251.32840117725,622.577119370309,455.710762802496,244.318072260319,0,37.6913941279297,,0,160.320806524896,724.050394040269,1141.61511996833,1166.18003646801,1499.23852886532,1828.24656823934,2866.71908596899,4137.13825514564,3495.93508478955,4076.5946917418,5324.84895606275,7692.80911250632,7524.16916520037,8481.43252986179,8425.58519109623,7920.12164550798,8756.29459288905,6811.27315208287,5711.95913041928,8650.84290808011,9146.88965719185,8993.55100976154,9489.38502574593,9104.40106555573,9493.33195307211,8824.7943069045,9895.01975429853,10006.3827897195,9341.04339174056,9308.78782680746,10019.0121595026,10066.2357913058,10176.0281347969,9820.65111578684,8276.21704624018,9436.31937892757,9463.12585967002,9491.73184334091,9829.23873960835,11341.9386393636,8992.75852340701,8779.88263038505,8444.16604922807,8705.85247835117,7591.21090419874,7030.53187830618,9076.23878711379,8900.71529629736,8675.99094887986,9324.22772302421,12784.9948200365,12568.4714215677,10713.5549198675,12867.833666217,11962.4719699087,11566.8057577134,10935.9073307708,11857.7750145094,15724.9733803938,6986.05327690089,10458.7397013887,10790.4097521096,11558.5041836929,11578.2398086048,12530.8018876635,14710.7161473942,13155.8852898257,11702.475050242,14002.6630648238,13726.0466057109,15310.7259868165,16063.7894161155,16424.1411058876,15215.8193222333,14555.1287479856,13482.0784625758,10879.7353878237
"CRI","Costa Rica",1594.07892249636,3388.50934978816,1496.24742305327,988.728408393316,750.774909986201,538.814847149424,249.204254025445,331.959419840403,0,,0,559.683982969572,1009.87892353365,856.056094491186,1209.02053764256,1606.74584975532,2565.98759794966,3840.05862372225,3183.68730242638,3766.48277055924,5018.82121097052,8087.26865480687,7909.30201013714,8862.77074624603,8805.89010773212,8287.39759068681,9114.95214556315,7009.29668277984,6042.5718967611,9035.2950003968,9543.62386758858,9360.83081761453,9861.08106398314,9485.50595881637,9869.90082283626,9178.9294650117,10245.7115746708,10357.1348484221,9701.68238944608,9673.00775796136,10357.9307807507,10428.180183256,10561.570745191,10190.4698430642,8605.59986860174,9854.14064007895,9873.96861647941,9900.09889990103,10224.0938974776,11728.9611851838,9433.97423633552,9206.11715797421,8865.17725907596,9109.70355337304,7647.13198661156,7079.17476188174,9108.17669021423,8979.67318723608,8704.41946804213,9348.2705874297,12836.3291569577,12510.0473096782,10611.7838596186,12721.4175428722,11819.2471669294,11351.7745889788,10769.7332738486,11672.974686735,15537.4701106722,7104.85686335848,10816.4262165792,11081.7462182328,11898.0839293936,11910.8519791228,12894.3623122281,15011.2860356899,13463.0870603998,12003.3764721595,14437.6434416514,14114.2846819796,15763.3276617614,16449.3637068146,16708.168756899,15510.3126362603,14775.8985494281,13529.0515174243,10813.8782169078
